Search,Search Count,Last Search Date
"consoleHost !dir:",14,132871612319694401
"mingw64",11,132838750734120226
"datagrip",7,132838743021991044
"path:wildcard:*vs*code* ext:exe",5,132846618706609839
"D:\ regex:"".*[(]2[)]""",4,132856930653985105
"psreadline",3,132833043758535063
"mteFunction",2,132891442547739261
"windowsadmin dir:",2,132877180089572457
"D:\ ext:ahk  !\$",2,132871578444869504
"D:\ ext:ini fallout4 !\$",2,132866684830278952
"D:\ regex:"".*[(]\d[)]""",2,132866659412815699
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\ !D:\AppData\Local\Microsoft\RSA\MachineKeys\ !""D:\AppData\Roaming\JetBrains\DataGrip2021.1\jdbc-drivers\"" !assets\ !\packages !locales\ !empty: !""D:\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\"" !""D:\AppData\Roaming\Vortex\downloads\"" !\index\",2,132856085825542018
"wildcard:path:*todo*",2,132838772262227222
"wfn:child:.git",2,132821732704636127
"Arrogant Bastard Typhoon Gaming mouse",2,132821287779435941
"admin dir:",1,132871641107040252
"psreadline dir:",1,132871614953020891
"console !dir:",1,132871578659261778
"D:\ ext:ini fallout !\$",1,132866665138122525
"D:\ ext:ini fallout !$",1,132866663934914670
"D:\ ext:ini fallout !F",1,132866663523050600
"D:\ ext:ini fallout",1,132866659951317692
"D:\appdata empty:",1,132855552904132387
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\ !D:\AppData\Local\Microsoft\RSA\MachineKeys\ !""D:\AppData\Roaming\JetBrains\DataGrip2021.1\jdbc-drivers\"" !assets\ !\packages !locales\ !empty: !""D:\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\""",1,132855247404859908
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\ !D:\AppData\Local\Microsoft\RSA\MachineKeys\ !""D:\AppData\Roaming\JetBrains\DataGrip2021.1\jdbc-drivers\"" !assets\ !\packages !locales\ !empty:",1,132855246168034077
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\ !D:\AppData\Local\Microsoft\RSA\MachineKeys\ !""D:\AppData\Roaming\JetBrains\DataGrip2021.1\jdbc-drivers\""",1,132855244758200091
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\ !D:\AppData\Local\Microsoft\RSA\MachineKeys\",1,132855244493327181
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\ !mixxx\",1,132855244007403689
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\ !\Temp !Temp\ !updates\ !emojis\",1,132855243027621410
"""D:\AppData\"" !.git\ !\cache !cache\ !dir: !node_modules\ !plugins\",1,132855241721713680
"""D:\AppData\"" !.git\ !\cache !cache\ !dir:",1,132855240848168470
"""D:\AppData\"" !.git\",1,132855239726831274
"""D:\AppData\"" ",1,132855239026147136
"path:C:\Users\dator\AppData\Roaming\Vortex\fallout4\profiles\",1,132846622369137866
"path:vortex",1,132846621815281719
"ext:nif",1,132840467400398967
"path:wildcard:*vscode* ext:exe",1,132838751735645039
"todo",1,132838743305701940
"path: git config !dir:",1,132831024945278011
"config !dir:",1,132831024165613607
"config",1,132831023498762490
"git",1,132821733075227689
"child:.git",1,132821720906056484
"wfn:vortex",1,132821300474323316
"vortex dir:",1,132821299302254020
